function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret
camel3,2,1.0,0,gaussian,2.0,0,1.980199356004203,-0.5946891586947591,-1.980199356004203,0.5946891586947591
camel3,2,1.0,0,gaussian,2.0,1,3.424861052849748,-0.30919297821748526,-3.424861052849748,0.30919297821748526
camel3,2,1.0,0,gaussian,2.0,2,4.055399834497962,-0.4333749437792639,-4.055399834497962,0.4333749437792639
camel3,2,1.0,0,gaussian,2.0,3,0.12573452722564826,-1.5749484507308509,-0.12573452722564826,1.5749484507308509
camel3,2,1.0,0,gaussian,2.0,4,1.1227459746437,-2.92499682179995,-1.1227459746437,2.92499682179995
camel3,2,1.0,1,gaussian,2.0,0,1.1084805367796289,-0.06939045913601274,-1.1084805367796289,0.06939045913601274
camel3,2,1.0,1,gaussian,2.0,1,2.0336385818866156,-0.30919297821748526,-2.0336385818866156,0.30919297821748526
camel3,2,1.0,1,gaussian,2.0,2,4.055399834497962,-0.3587695419145611,-4.055399834497962,0.3587695419145611
camel3,2,1.0,1,gaussian,2.0,3,1.6897558918340971,-0.8909419076477734,-1.6897558918340971,0.8909419076477734
camel3,2,1.0,1,gaussian,2.0,4,0.6022655683335945,-0.8298726174869884,-0.6022655683335945,0.8298726174869884
camel3,2,1.0,2,gaussian,2.0,0,1.2027695924206296,-0.9337497881335219,-1.2027695924206296,0.9337497881335219
camel3,2,1.0,2,gaussian,2.0,1,2.0336385818866156,-0.30919297821748526,-2.0336385818866156,0.30919297821748526
camel3,2,1.0,2,gaussian,2.0,2,4.055399834497962,-0.20348849949244147,-4.055399834497962,0.20348849949244147
camel3,2,1.0,2,gaussian,2.0,3,0.4695244244523584,-0.8592361276466154,-0.4695244244523584,0.8592361276466154
camel3,2,1.0,2,gaussian,2.0,4,1.294009466632563,-0.10949242143268786,-1.294009466632563,0.10949242143268786
camel3,2,hw,0,gaussian,2.0,0,1.920701892911483,-0.9296918958206191,-1.920701892911483,0.9296918958206191
camel3,2,hw,0,gaussian,2.0,1,3.3049258846065213,-0.30385260151374427,-3.3049258846065213,0.30385260151374427
camel3,2,hw,0,gaussian,2.0,2,4.055399834497962,-0.5290161911319531,-4.055399834497962,0.5290161911319531
camel3,2,hw,0,gaussian,2.0,3,0.15229256758662246,-1.5414432388706303,-0.15229256758662246,1.5414432388706303
camel3,2,hw,0,gaussian,2.0,4,1.0793053028912682,-4.024316334318301,-1.0793053028912682,4.024316334318301
camel3,2,hw,1,gaussian,2.0,0,1.2734047489040963,-0.030611659671051013,-1.2734047489040963,0.030611659671051013
camel3,2,hw,1,gaussian,2.0,1,2.0336385818866156,-0.30919297821748526,-2.0336385818866156,0.30919297821748526
camel3,2,hw,1,gaussian,2.0,2,4.055399834497962,-0.3587695419145611,-4.055399834497962,0.3587695419145611
camel3,2,hw,1,gaussian,2.0,3,1.6897204613787866,-0.8909445963900434,-1.6897204613787866,0.8909445963900434
camel3,2,hw,1,gaussian,2.0,4,-1.0259607488615086,-0.8298683769285451,1.0259607488615086,0.8298683769285451
camel3,2,hw,2,gaussian,2.0,0,1.1084805367796289,-0.2737807066942406,-1.1084805367796289,0.2737807066942406
camel3,2,hw,2,gaussian,2.0,1,2.0336385818866156,-0.30919297821748526,-2.0336385818866156,0.30919297821748526
camel3,2,hw,2,gaussian,2.0,2,4.055399834497962,-0.16317303181030313,-4.055399834497962,0.16317303181030313
camel3,2,hw,2,gaussian,2.0,3,0.4694396193048158,-0.859483982101223,-0.4694396193048158,0.859483982101223
camel3,2,hw,2,gaussian,2.0,4,1.2940026176618378,-0.10948728774556665,-1.2940026176618378,0.10948728774556665
camel6,2,1.0,0,gaussian,2.0,0,3.2061810902630987,-0.16173744559321213,-3.2061810902630987,0.16173744559321213
camel6,2,1.0,0,gaussian,2.0,1,2.7230033617075655,-0.6426230096051451,-2.7230033617075655,0.6426230096051451
camel6,2,1.0,0,gaussian,2.0,2,3.540847963299539,-0.6564055608717707,-3.540847963299539,0.6564055608717707
camel6,2,1.0,0,gaussian,2.0,3,2.0315696441506113,-0.144022684445695,-2.0315696441506113,0.144022684445695
camel6,2,1.0,0,gaussian,2.0,4,2.067111149112137,-1.829093160271977,-2.067111149112137,1.829093160271977
camel6,2,1.0,1,gaussian,2.0,0,3.098228705950704,-0.045502800628168805,-3.098228705950704,0.045502800628168805
camel6,2,1.0,1,gaussian,2.0,1,2.7230033617075655,-0.7246240689857563,-2.7230033617075655,0.7246240689857563
camel6,2,1.0,1,gaussian,2.0,2,3.540847963299539,-0.23871016834937686,-3.540847963299539,0.23871016834937686
camel6,2,1.0,1,gaussian,2.0,3,0.37023459120830937,-0.16202460653898043,-0.37023459120830937,0.16202460653898043
camel6,2,1.0,1,gaussian,2.0,4,2.271830814917915,-0.0736502539696946,-2.271830814917915,0.0736502539696946
camel6,2,1.0,2,gaussian,2.0,0,1.8906516366100345,-0.258003299032318,-1.8906516366100345,0.258003299032318
camel6,2,1.0,2,gaussian,2.0,1,2.7230033617075655,-0.7666201667253945,-2.7230033617075655,0.7666201667253945
camel6,2,1.0,2,gaussian,2.0,2,3.540847963299539,-0.3180738857608437,-3.540847963299539,0.3180738857608437
camel6,2,1.0,2,gaussian,2.0,3,0.7011655855436412,-0.521727186993659,-0.7011655855436412,0.521727186993659
camel6,2,1.0,2,gaussian,2.0,4,1.736248380759573,-0.6092326881280368,-1.736248380759573,0.6092326881280368
camel6,2,hw,0,gaussian,2.0,0,3.1056950209150953,-0.1529352463471927,-3.1056950209150953,0.1529352463471927
camel6,2,hw,0,gaussian,2.0,1,3.2656809794640944,-0.2573335773256158,-3.2656809794640944,0.2573335773256158
