function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret
bukin6,2,1.0,0,gaussian,2.0,0,-0.6654686993407797,-1.2479254590754194,0.6654686993407797,1.2479254590754194
bukin6,2,1.0,0,gaussian,2.0,1,-19.618420602506916,-18.93676403610272,19.618420602506916,18.93676403610272
bukin6,2,1.0,0,gaussian,2.0,2,-19.635085982878543,-17.14557837945903,19.635085982878543,17.14557837945903
bukin6,2,1.0,0,gaussian,2.0,3,-3.640737625584819,-4.163854382491728,3.640737625584819,4.163854382491728
bukin6,2,1.0,0,gaussian,2.0,4,0.9760942462492572,-1.1008056193918236,-0.9760942462492572,1.1008056193918236
bukin6,2,1.0,1,gaussian,2.0,0,-4.302286583854183,-5.086902695165932,4.302286583854183,5.086902695165932
bukin6,2,1.0,1,gaussian,2.0,1,-6.228337810884047,-8.522435528877288,6.228337810884047,8.522435528877288
bukin6,2,1.0,1,gaussian,2.0,2,-4.30370010264501,-5.63553733942624,4.30370010264501,5.63553733942624
bukin6,2,1.0,1,gaussian,2.0,3,-27.098394629194992,-25.61536112632236,27.098394629194992,25.61536112632236
bukin6,2,1.0,1,gaussian,2.0,4,-3.9183491308058587,-2.6229355965621575,3.9183491308058587,2.6229355965621575
bukin6,2,1.0,2,gaussian,2.0,0,-6.934768046987454,-7.517224806722093,6.934768046987454,7.517224806722093
bukin6,2,1.0,2,gaussian,2.0,1,-15.443368254763012,-15.89984580163909,15.443368254763012,15.89984580163909
bukin6,2,1.0,2,gaussian,2.0,2,-10.562999356952815,-8.422915756205855,10.562999356952815,8.422915756205855
bukin6,2,1.0,2,gaussian,2.0,3,-29.091215225377844,-28.904947279478755,29.091215225377844,28.904947279478755
bukin6,2,1.0,2,gaussian,2.0,4,-3.9183491308058587,-2.6229355965621575,3.9183491308058587,2.6229355965621575
bukin6,2,hw,0,gaussian,2.0,0,-7.467323616586591,-5.887396345625837,7.467323616586591,5.887396345625837
bukin6,2,hw,0,gaussian,2.0,1,-22.854255326362143,-22.9639797208896,22.854255326362143,22.9639797208896
bukin6,2,hw,0,gaussian,2.0,2,-4.824000379863751,-6.223034164651269,4.824000379863751,6.223034164651269
bukin6,2,hw,0,gaussian,2.0,3,-5.273045518513302,-5.256693644250342,5.273045518513302,5.256693644250342
bukin6,2,hw,0,gaussian,2.0,4,0.9760942462492572,-2.382182579068674,-0.9760942462492572,2.382182579068674
bukin6,2,hw,1,gaussian,2.0,0,-8.381570222355743,-6.801642951394989,8.381570222355743,6.801642951394989
bukin6,2,hw,1,gaussian,2.0,1,-5.968331950819726,-5.286675384415529,5.968331950819726,5.286675384415529
bukin6,2,hw,1,gaussian,2.0,2,-4.306265900859017,-5.638103137640248,4.306265900859017,5.638103137640248
bukin6,2,hw,1,gaussian,2.0,3,-27.299652192025498,-26.588784997421474,27.299652192025498,26.588784997421474
bukin6,2,hw,1,gaussian,2.0,4,-3.9183491308058587,-2.6229355965621575,3.9183491308058587,2.6229355965621575
bukin6,2,hw,2,gaussian,2.0,0,-26.76503727455038,-27.248306887660263,26.76503727455038,27.248306887660263
bukin6,2,hw,2,gaussian,2.0,1,-18.48328329239591,-18.24506462635408,18.48328329239591,18.24506462635408
bukin6,2,hw,2,gaussian,2.0,2,-13.485374041934746,-13.310567881837319,13.485374041934746,13.310567881837319
bukin6,2,hw,2,gaussian,2.0,3,-29.091160338897694,-28.904892392998605,29.091160338897694,28.904892392998605
bukin6,2,hw,2,gaussian,2.0,4,-3.9183491308058587,-2.6229355965621575,3.9183491308058587,2.6229355965621575
cross_in_tray,2,1.0,0,gaussian,2.0,0,3.1901127890694463,-0.08589261111628477,-3.1901127890694463,0.08589261111628477
cross_in_tray,2,1.0,0,gaussian,2.0,1,3.3133371839931174,-0.10612562913685397,-3.3133371839931174,0.10612562913685397
cross_in_tray,2,1.0,0,gaussian,2.0,2,4.568355113471053,-0.001160723739291658,-4.568355113471053,0.001160723739291658
cross_in_tray,2,1.0,0,gaussian,2.0,3,1.7672948834856168,-0.20166532437744156,-1.7672948834856168,0.20166532437744156
cross_in_tray,2,1.0,0,gaussian,2.0,4,4.884630149533356,-0.0924816926930978,-4.884630149533356,0.0924816926930978
cross_in_tray,2,1.0,1,gaussian,2.0,0,3.1901127890694463,-0.08589261111628477,-3.1901127890694463,0.08589261111628477
cross_in_tray,2,1.0,1,gaussian,2.0,1,3.3133371839931174,-0.10612562913685397,-3.3133371839931174,0.10612562913685397
cross_in_tray,2,1.0,1,gaussian,2.0,2,4.568355113471053,-0.009475241501250231,-4.568355113471053,0.009475241501250231
cross_in_tray,2,1.0,1,gaussian,2.0,3,1.7672948834856168,-0.19085347713999878,-1.7672948834856168,0.19085347713999878
cross_in_tray,2,1.0,1,gaussian,2.0,4,4.884630149533356,-0.0924816926930978,-4.884630149533356,0.0924816926930978
cross_in_tray,2,1.0,2,gaussian,2.0,0,3.1901127890694463,-0.08589261111628477,-3.1901127890694463,0.08589261111628477
cross_in_tray,2,1.0,2,gaussian,2.0,1,3.3133371839931174,-0.10612562913685397,-3.3133371839931174,0.10612562913685397
cross_in_tray,2,1.0,2,gaussian,2.0,2,4.568355113471053,-0.001160723739291658,-4.568355113471053,0.001160723739291658
cross_in_tray,2,1.0,2,gaussian,2.0,3,1.7672948834856168,-0.18354993918499574,-1.7672948834856168,0.18354993918499574
cross_in_tray,2,1.0,2,gaussian,2.0,4,4.884630149533356,-0.0924816926930978,-4.884630149533356,0.0924816926930978
cross_in_tray,2,hw,0,gaussian,2.0,0,3.4960313732575026,-0.08589261111628477,-3.4960313732575026,0.08589261111628477
cross_in_tray,2,hw,0,gaussian,2.0,1,3.3133371839931174,-0.06727300096900302,-3.3133371839931174,0.06727300096900302
cross_in_tray,2,hw,0,gaussian,2.0,2,4.568355113471053,-0.001160723739291658,-4.568355113471053,0.001160723739291658
cross_in_tray,2,hw,0,gaussian,2.0,3,1.7672948834856168,-0.20166532437744156,-1.7672948834856168,0.20166532437744156
cross_in_tray,2,hw,0,gaussian,2.0,4,4.884630149533356,-0.0924816926930978,-4.884630149533356,0.0924816926930978
cross_in_tray,2,hw,1,gaussian,2.0,0,3.148590432905951,-0.08589261111628477,-3.148590432905951,0.08589261111628477
cross_in_tray,2,hw,1,gaussian,2.0,1,3.3133371839931174,-0.10612562913685397,-3.3133371839931174,0.10612562913685397
cross_in_tray,2,hw,1,gaussian,2.0,2,4.568355113471053,-0.009475241501250231,-4.568355113471053,0.009475241501250231
cross_in_tray,2,hw,1,gaussian,2.0,3,1.7672948834856168,-0.19386361515229766,-1.7672948834856168,0.19386361515229766
cross_in_tray,2,hw,1,gaussian,2.0,4,4.884630149533356,-0.0924816926930978,-4.884630149533356,0.0924816926930978
cross_in_tray,2,hw,2,gaussian,2.0,0,3.305376468981229,-0.08589261111628477,-3.305376468981229,0.08589261111628477
cross_in_tray,2,hw,2,gaussian,2.0,1,3.3133371839931174,-0.07507265184481948,-3.3133371839931174,0.07507265184481948
cross_in_tray,2,hw,2,gaussian,2.0,2,4.568355113471053,-0.001160723739291658,-4.568355113471053,0.001160723739291658
cross_in_tray,2,hw,2,gaussian,2.0,3,1.7672948834856168,-0.18367959210386187,-1.7672948834856168,0.18367959210386187
cross_in_tray,2,hw,2,gaussian,2.0,4,4.884630149533356,-0.0924816926930978,-4.884630149533356,0.0924816926930978
drop_wave,5,1.0,0,gaussian,2.0,0,5.623979977649108,-0.6527428697555901,-5.623979977649108,0.6527428697555901
drop_wave,5,1.0,0,gaussian,2.0,1,3.779296829072804,-0.8567613380383078,-3.779296829072804,0.8567613380383078
