function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret
bukin6,2,1.0,0,student_t,2.0,0,-6.5936939701039385,-8.48471696783406,6.5936939701039385,8.48471696783406
bukin6,2,1.0,0,student_t,2.0,1,-16.40227800736774,-14.991137931480758,16.40227800736774,14.991137931480758
bukin6,2,1.0,0,student_t,2.0,2,-12.194785785284306,-9.638120447355536,12.194785785284306,9.638120447355536
bukin6,2,1.0,0,student_t,2.0,3,-5.014616327036766,-5.245237839749172,5.014616327036766,5.245237839749172
bukin6,2,1.0,0,student_t,2.0,4,-3.4317783918889204,-2.6229355965621575,3.4317783918889204,2.6229355965621575
bukin6,2,1.0,1,student_t,2.0,0,-24.508142805499105,-24.816137231667156,24.508142805499105,24.816137231667156
bukin6,2,1.0,1,student_t,2.0,1,-6.924437912144727,-6.081273419654137,6.924437912144727,6.081273419654137
bukin6,2,1.0,1,student_t,2.0,2,-18.028243741690588,-19.817606487961395,18.028243741690588,19.817606487961395
bukin6,2,1.0,1,student_t,2.0,3,-18.992894479066834,-21.655782956941536,18.992894479066834,21.655782956941536
bukin6,2,1.0,1,student_t,2.0,4,-3.4317783918889204,-2.6229355965621575,3.4317783918889204,2.6229355965621575
bukin6,2,1.0,2,student_t,2.0,0,-6.016407774831931,-7.907430772562053,6.016407774831931,7.907430772562053
bukin6,2,1.0,2,student_t,2.0,1,-10.498667890412426,-10.332586447833215,10.498667890412426,10.332586447833215
bukin6,2,1.0,2,student_t,2.0,2,-11.980334831983456,-11.890542043889818,11.980334831983456,11.890542043889818
bukin6,2,1.0,2,student_t,2.0,3,-8.24878449470143,-9.171108667074677,8.24878449470143,9.171108667074677
bukin6,2,1.0,2,student_t,2.0,4,-3.4317783918889204,-2.6229355965621575,3.4317783918889204,2.6229355965621575
bukin6,2,hw,0,student_t,2.0,0,-7.742618810400098,-8.050613236568148,7.742618810400098,8.050613236568148
bukin6,2,hw,0,student_t,2.0,1,-7.999934336413758,-7.3517920628451385,7.999934336413758,7.3517920628451385
bukin6,2,hw,0,student_t,2.0,2,-5.653663307277905,-6.279882843847614,5.653663307277905,6.279882843847614
bukin6,2,hw,0,student_t,2.0,3,-4.591777499387073,-1.7754267179540997,4.591777499387073,1.7754267179540997
bukin6,2,hw,0,student_t,2.0,4,-3.4317783918889204,-2.6229355965621575,3.4317783918889204,2.6229355965621575
bukin6,2,hw,1,student_t,2.0,0,-11.38424507356108,-10.254095226446312,11.38424507356108,10.254095226446312
