function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret
bukin6,2,1.0,0,gaussian_mixture,2.0,0,-11.207338334681218,-11.882225147383897,11.207338334681218,11.882225147383897
bukin6,2,1.0,0,gaussian_mixture,2.0,1,-4.739658956072892,-6.417117386944184,4.739658956072892,6.417117386944184
bukin6,2,1.0,0,gaussian_mixture,2.0,2,-1.2424289798221149,-1.964085327382683,1.2424289798221149,1.964085327382683
bukin6,2,1.0,0,gaussian_mixture,2.0,3,-10.82170701843836,-10.900610623153765,10.82170701843836,10.900610623153765
bukin6,2,1.0,0,gaussian_mixture,2.0,4,-3.1489087883498534,-2.6229355965621575,3.1489087883498534,2.6229355965621575
bukin6,2,1.0,1,gaussian_mixture,2.0,0,-13.66086068651914,-18.775246173193295,13.66086068651914,18.775246173193295
bukin6,2,1.0,1,gaussian_mixture,2.0,1,-7.937850760191004,-7.8120471632674615,7.937850760191004,7.8120471632674615
bukin6,2,1.0,1,gaussian_mixture,2.0,2,-5.69071995025414,-3.4851158062076397,5.69071995025414,3.4851158062076397
bukin6,2,1.0,1,gaussian_mixture,2.0,3,-16.094623394908286,-18.167206113292874,16.094623394908286,18.167206113292874
bukin6,2,1.0,1,gaussian_mixture,2.0,4,-3.1489087883498534,-2.6229355965621575,3.1489087883498534,2.6229355965621575
bukin6,2,1.0,2,gaussian_mixture,2.0,0,-12.497735439957438,-13.23194528965863,12.497735439957438,13.23194528965863
bukin6,2,1.0,2,gaussian_mixture,2.0,1,-15.099859148242281,-16.641925218304806,15.099859148242281,16.641925218304806
bukin6,2,1.0,2,gaussian_mixture,2.0,2,-19.21417217595682,-18.02181683321659,19.21417217595682,18.02181683321659
bukin6,2,1.0,2,gaussian_mixture,2.0,3,-4.800775144381857,-4.987753665533258,4.800775144381857,4.987753665533258
bukin6,2,1.0,2,gaussian_mixture,2.0,4,-3.1489087883498534,-2.6229355965621575,3.1489087883498534,2.6229355965621575
bukin6,2,hw,0,gaussian_mixture,2.0,0,-6.914365546070625,-7.334430200229015,6.914365546070625,7.334430200229015
bukin6,2,hw,0,gaussian_mixture,2.0,1,-6.472227742257117,-5.435923544365947,6.472227742257117,5.435923544365947
bukin6,2,hw,0,gaussian_mixture,2.0,2,-8.334504555206044,-8.492690324383021,8.334504555206044,8.492690324383021
bukin6,2,hw,0,gaussian_mixture,2.0,3,-9.778281519544265,-9.656014785955907,9.778281519544265,9.656014785955907
bukin6,2,hw,0,gaussian_mixture,2.0,4,-3.1489087883498534,-2.6229355965621575,3.1489087883498534,2.6229355965621575
bukin6,2,hw,1,gaussian_mixture,2.0,0,-16.396744233725858,-16.127897712471015,16.396744233725858,16.127897712471015
bukin6,2,hw,1,gaussian_mixture,2.0,1,-32.59966373464146,-32.11999873431343,32.59966373464146,32.11999873431343
bukin6,2,hw,1,gaussian_mixture,2.0,2,-5.698959480352284,-3.4933553363057834,5.698959480352284,3.4933553363057834
bukin6,2,hw,1,gaussian_mixture,2.0,3,-12.403772048592705,-12.590750569744106,12.403772048592705,12.590750569744106
bukin6,2,hw,1,gaussian_mixture,2.0,4,-3.1489087883498534,-2.6229355965621575,3.1489087883498534,2.6229355965621575
bukin6,2,hw,2,gaussian_mixture,2.0,0,-8.13294617224826,-8.867156021949452,8.13294617224826,8.867156021949452
bukin6,2,hw,2,gaussian_mixture,2.0,1,-16.667502153352522,-17.303011243651607,16.667502153352522,17.303011243651607
bukin6,2,hw,2,gaussian_mixture,2.0,2,-11.438137836176985,-11.81040431179993,11.438137836176985,11.81040431179993
bukin6,2,hw,2,gaussian_mixture,2.0,3,-5.464204467404649,-6.144795457534353,5.464204467404649,6.144795457534353
bukin6,2,hw,2,gaussian_mixture,2.0,4,-3.1489087883498534,-2.6229355965621575,3.1489087883498534,2.6229355965621575
cross_in_tray,2,1.0,0,gaussian_mixture,2.0,0,4.796443440029446,-0.08589261111628477,-4.796443440029446,0.08589261111628477
cross_in_tray,2,1.0,0,gaussian_mixture,2.0,1,2.9544641223017107,-0.09923225166150629,-2.9544641223017107,0.09923225166150629
cross_in_tray,2,1.0,0,gaussian_mixture,2.0,2,1.2442061186326763,-0.01606091215886174,-1.2442061186326763,0.01606091215886174
cross_in_tray,2,1.0,0,gaussian_mixture,2.0,3,2.907355803260463,-0.034141303339857654,-2.907355803260463,0.034141303339857654
cross_in_tray,2,1.0,0,gaussian_mixture,2.0,4,1.1977536855894728,-0.18002280298835482,-1.1977536855894728,0.18002280298835482
cross_in_tray,2,1.0,1,gaussian_mixture,2.0,0,4.796443440029446,-0.08589261111628477,-4.796443440029446,0.08589261111628477
cross_in_tray,2,1.0,1,gaussian_mixture,2.0,1,2.9544641223017107,-0.06229508977226628,-2.9544641223017107,0.06229508977226628
cross_in_tray,2,1.0,1,gaussian_mixture,2.0,2,1.2442061186326763,-0.01606091215886174,-1.2442061186326763,0.01606091215886174
cross_in_tray,2,1.0,1,gaussian_mixture,2.0,3,2.3698612301492163,-0.15557572247833562,-2.3698612301492163,0.15557572247833562
cross_in_tray,2,1.0,1,gaussian_mixture,2.0,4,1.4359316529760715,-0.18002280298835482,-1.4359316529760715,0.18002280298835482
cross_in_tray,2,1.0,2,gaussian_mixture,2.0,0,4.919587364078084,-0.05846610072423575,-4.919587364078084,0.05846610072423575
cross_in_tray,2,1.0,2,gaussian_mixture,2.0,1,2.9544641223017107,-0.06778750880995665,-2.9544641223017107,0.06778750880995665
cross_in_tray,2,1.0,2,gaussian_mixture,2.0,2,1.2590910089442353,-0.01606091215886174,-1.2590910089442353,0.01606091215886174
cross_in_tray,2,1.0,2,gaussian_mixture,2.0,3,2.2706655976118215,-0.15557572247833562,-2.2706655976118215,0.15557572247833562
cross_in_tray,2,1.0,2,gaussian_mixture,2.0,4,1.3365311355492757,-0.1939517906937931,-1.3365311355492757,0.1939517906937931
cross_in_tray,2,hw,0,gaussian_mixture,2.0,0,4.796443440029446,-0.08589261111628477,-4.796443440029446,0.08589261111628477
cross_in_tray,2,hw,0,gaussian_mixture,2.0,1,2.9544641223017107,-0.10519838534905368,-2.9544641223017107,0.10519838534905368
cross_in_tray,2,hw,0,gaussian_mixture,2.0,2,1.2442061186326763,-0.01606091215886174,-1.2442061186326763,0.01606091215886174
cross_in_tray,2,hw,0,gaussian_mixture,2.0,3,2.907355803260463,-0.034141303339857654,-2.907355803260463,0.034141303339857654
cross_in_tray,2,hw,0,gaussian_mixture,2.0,4,1.2684383653702718,-0.2008540708375095,-1.2684383653702718,0.2008540708375095
cross_in_tray,2,hw,1,gaussian_mixture,2.0,0,4.796443440029446,-0.08589261111628477,-4.796443440029446,0.08589261111628477
