function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret
sphere,5,1.0,0,gaussian_mixture,2.0,0,4.709320639866433,-1.055625690159524,-4.709320639866433,1.055625690159524
sphere,5,1.0,0,gaussian_mixture,2.0,1,6.824172944735836,-0.5516584159660856,-6.824172944735836,0.5516584159660856
sphere,5,1.0,0,gaussian_mixture,2.0,2,1.1164531990490754,-0.3291024878022568,-1.1164531990490754,0.3291024878022568
sphere,5,1.0,0,gaussian_mixture,2.0,3,4.067139243164719,-0.9286888572832136,-4.067139243164719,0.9286888572832136
sphere,5,1.0,0,gaussian_mixture,2.0,4,-0.8001591260515539,-1.4959246273031317,0.8001591260515539,1.4959246273031317
sphere,5,1.0,1,gaussian_mixture,2.0,0,5.672000295224187,-0.0719471043278142,-5.672000295224187,0.0719471043278142
sphere,5,1.0,1,gaussian_mixture,2.0,1,1.7512642276015573,-0.18401420932043472,-1.7512642276015573,0.18401420932043472
sphere,5,1.0,1,gaussian_mixture,2.0,2,2.770270324711289,-0.10899547594605878,-2.770270324711289,0.10899547594605878
sphere,5,1.0,1,gaussian_mixture,2.0,3,0.38683668756983847,-0.5799584378686831,-0.38683668756983847,0.5799584378686831
sphere,5,1.0,1,gaussian_mixture,2.0,4,1.1100283301078269,-0.3519043284283241,-1.1100283301078269,0.3519043284283241
sphere,5,1.0,2,gaussian_mixture,2.0,0,5.906766271980722,-0.0972829909025114,-5.906766271980722,0.0972829909025114
sphere,5,1.0,2,gaussian_mixture,2.0,1,1.337862171536442,-0.14833795979606815,-1.337862171536442,0.14833795979606815
sphere,5,1.0,2,gaussian_mixture,2.0,2,1.719016229293386,-0.23534080397624582,-1.719016229293386,0.23534080397624582
sphere,5,1.0,2,gaussian_mixture,2.0,3,0.18223749172650794,-0.24913422331527124,-0.18223749172650794,0.24913422331527124
sphere,5,1.0,2,gaussian_mixture,2.0,4,-0.4770784699267142,-0.7132488151580109,0.4770784699267142,0.7132488151580109
sphere,5,hw,0,gaussian_mixture,2.0,0,5.273335034396097,-0.6351500598515791,-5.273335034396097,0.6351500598515791
sphere,5,hw,0,gaussian_mixture,2.0,1,5.120231847110185,-1.2489802797969336,-5.120231847110185,1.2489802797969336
sphere,5,hw,0,gaussian_mixture,2.0,2,2.8056596182618514,-0.09750472517459165,-2.8056596182618514,0.09750472517459165
sphere,5,hw,0,gaussian_mixture,2.0,3,5.144253365364137,-0.27660229429277666,-5.144253365364137,0.27660229429277666
sphere,5,hw,0,gaussian_mixture,2.0,4,-1.5240237452904415,-2.5118466144591873,1.5240237452904415,2.5118466144591873
sphere,5,hw,1,gaussian_mixture,2.0,0,5.654885876141707,-0.13653099725567336,-5.654885876141707,0.13653099725567336
sphere,5,hw,1,gaussian_mixture,2.0,1,1.63496513130485,-0.05733617764475361,-1.63496513130485,0.05733617764475361
sphere,5,hw,1,gaussian_mixture,2.0,2,2.7448768025901895,-0.10441640051975624,-2.7448768025901895,0.10441640051975624
sphere,5,hw,1,gaussian_mixture,2.0,3,0.9986716495064538,-0.24577110875702946,-0.9986716495064538,0.24577110875702946
sphere,5,hw,1,gaussian_mixture,2.0,4,1.151852824096823,-0.3519122983114006,-1.151852824096823,0.3519122983114006
sphere,5,hw,2,gaussian_mixture,2.0,0,5.6542943280543305,-0.0925809609629014,-5.6542943280543305,0.0925809609629014
sphere,5,hw,2,gaussian_mixture,2.0,1,1.6127396782752037,-0.08023614587776239,-1.6127396782752037,0.08023614587776239
sphere,5,hw,2,gaussian_mixture,2.0,2,1.968970385989908,-0.15033369072574906,-1.968970385989908,0.15033369072574906
sphere,5,hw,2,gaussian_mixture,2.0,3,0.6352414432953144,-0.3492290556814009,-0.6352414432953144,0.3492290556814009
sphere,5,hw,2,gaussian_mixture,2.0,4,-0.7607267690338474,-0.7132318713860899,0.7607267690338474,0.7132318713860899
rosenbrock,5,1.0,0,gaussian_mixture,2.0,0,-12.641989021979068,-14.057749467784898,12.641989021979068,14.057749467784898
rosenbrock,5,1.0,0,gaussian_mixture,2.0,1,-32.404614999214694,-40.44090293830672,32.404614999214694,40.44090293830672
rosenbrock,5,1.0,0,gaussian_mixture,2.0,2,-26.289017350025794,-26.305995328032832,26.289017350025794,26.305995328032832
rosenbrock,5,1.0,0,gaussian_mixture,2.0,3,-40.80208062460558,-39.94166022213837,40.80208062460558,39.94166022213837
rosenbrock,5,1.0,0,gaussian_mixture,2.0,4,-13.25367957998242,-13.431211188783239,13.25367957998242,13.431211188783239
rosenbrock,5,1.0,1,gaussian_mixture,2.0,0,-8.001227373228662,-7.161536199231509,8.001227373228662,7.161536199231509
rosenbrock,5,1.0,1,gaussian_mixture,2.0,1,-3.5009121843704154,-11.537200123462444,3.5009121843704154,11.537200123462444
rosenbrock,5,1.0,1,gaussian_mixture,2.0,2,-10.048817561025025,-9.00701436971184,10.048817561025025,9.00701436971184
rosenbrock,5,1.0,1,gaussian_mixture,2.0,3,-7.6592204217746644,-7.174506079580913,7.6592204217746644,7.174506079580913
rosenbrock,5,1.0,1,gaussian_mixture,2.0,4,-7.796015807020339,-6.259972934401537,7.796015807020339,6.259972934401537
rosenbrock,5,1.0,2,gaussian_mixture,2.0,0,-17.36163756379049,-16.811131074377634,17.36163756379049,16.811131074377634
rosenbrock,5,1.0,2,gaussian_mixture,2.0,1,-10.784628228162497,-9.929231364970018,10.784628228162497,9.929231364970018
rosenbrock,5,1.0,2,gaussian_mixture,2.0,2,-35.6614253133099,-36.20578871126154,35.6614253133099,36.20578871126154
rosenbrock,5,1.0,2,gaussian_mixture,2.0,3,-21.694468606015093,-22.33775530538458,21.694468606015093,22.33775530538458
rosenbrock,5,1.0,2,gaussian_mixture,2.0,4,-19.86986026391432,-19.5220070855746,19.86986026391432,19.5220070855746
rosenbrock,5,hw,0,gaussian_mixture,2.0,0,-6.157956293349925,-9.368184940893332,6.157956293349925,9.368184940893332
rosenbrock,5,hw,0,gaussian_mixture,2.0,1,-10.436293291536167,-10.323611466108353,10.436293291536167,10.323611466108353
rosenbrock,5,hw,0,gaussian_mixture,2.0,2,-38.96450596441876,-38.2264994322126,38.96450596441876,38.2264994322126
rosenbrock,5,hw,0,gaussian_mixture,2.0,3,-33.28734329306143,-32.42692289059422,33.28734329306143,32.42692289059422
rosenbrock,5,hw,0,gaussian_mixture,2.0,4,-12.605575715741688,-13.980181001238636,12.605575715741688,13.980181001238636
rosenbrock,5,hw,1,gaussian_mixture,2.0,0,-7.847898792409043,-7.00820761841189,7.847898792409043,7.00820761841189
rosenbrock,5,hw,1,gaussian_mixture,2.0,1,-7.797352034125184,-6.914534113222471,7.797352034125184,6.914534113222471
rosenbrock,5,hw,1,gaussian_mixture,2.0,2,-9.848470882066891,-10.645785048781573,9.848470882066891,10.645785048781573
rosenbrock,5,hw,1,gaussian_mixture,2.0,3,-7.58605667018877,-7.1013423279950185,7.58605667018877,7.1013423279950185
rosenbrock,5,hw,1,gaussian_mixture,2.0,4,-7.802080047475943,-6.266037174857141,7.802080047475943,6.266037174857141
rosenbrock,5,hw,2,gaussian_mixture,2.0,0,-18.262387495654462,-17.711881006241605,18.262387495654462,17.711881006241605
