function,dimension,1,hw
ackley,5,-1.6866366801534851,-2.1325034927978153
ackley,10,-3.850786818017329,-3.5536187417752414
alpine1,5,-0.004502763971220755,-0.005194290126929323
alpine1,10,-0.10941039240035062,-0.16892055138884376
beale,2,-0.8529696642311533,-2.219637550462557
bohachevsky1,2,-5.782989393727897,-6.214890888341353
booth,2,-0.05133336877786036,-0.05373990133749
branin,2,-0.030663199569717102,-0.051147764717306886
bukin6,2,-8.997219041913086,-7.316261866746987
camel3,2,-0.024855462815339385,-0.04286926239108858
camel6,2,-0.12139802648347062,-0.2916712173290251
colville,4,-1649.2301232270092,-1585.6835582658102
cross_in_tray,2,-0.012892123902356676,-0.05319661192962448
dejong5,2,-60.872271992955405,-123.33129489410108
dixon_price,5,-173.11433069284288,-203.67042913521317
dixon_price,10,-524.5059906225795,-631.7087546524186
drop_wave,5,-0.6325756530116381,-0.6349493456319741
drop_wave,10,-0.8808621991231125,-0.8401481409006196
easom,2,-0.9792737795144651,-0.9792737795144651
eggholder,2,-172.53983496433344,-253.17861477370678
expanded_scaffer_f6,5,-1.9685632438008838,-1.899880053165902
expanded_scaffer_f6,10,-4.3020319013987045,-4.222011389525919
forrester08,1,0.004972176995944313,0.004971634431420515
goldstein_price,2,-27.332916365551206,-9.885003082349357
griewank,5,-1.5409220589722288,-1.5623648125564518
griewank,10,-1.9291273224788843,-2.103418098657247
grlee12,5,-2.940228527368417,-3.2012194266281258
grlee12,10,-7.068132130842517,-6.5782430672743955
hartmann3,3,3.820935044488324,3.8435509190530626
hartmann4,4,3.05855758774185,3.002780569814571
hartmann6,6,2.888071966158318,2.779718740440626
holder_table,2,-1.9795850380906153,-1.9594338081418257
levy,5,-1.6547034429073602,-3.169539979394257
levy,10,-3.451975341802792,-3.796029493754272
levy13,2,-0.4709173557077288,-0.46471455748777357
matyas,2,-0.011035641606826197,-0.013417950510876391
mccormick,2,-0.022830228841255615,-0.022805615346094186
michalewicz,5,2.514247912359088,2.8374951757233693
michalewicz,10,4.107393552352493,4.081816864063443
powell,4,-49.28570271810827,-74.26945612765978
power_sum,4,-68.38964896189702,-48.279743336620314
rastrigin,5,-27.716328961045292,-36.337874734706155
rastrigin,10,-83.32289832602918,-94.10634735022893
rosenbrock,5,-32.947783815429354,-21.6216406217996
rosenbrock,10,-88.73679613578267,-62.042400685202935
rotated_hyper_ellipsoid,5,-20.202439599868647,-35.04003076657292
rotated_hyper_ellipsoid,10,-101.28852980475723,-92.58189475879847
schaffer2,2,-0.3581691639467433,-0.3931328723961528
schaffer4,2,-0.14779074060977893,-0.14796912755539562
schwefel,5,-1018.2606800173191,-788.6945173237475
schwefel,10,-2218.3287348540057,-2561.6526103775686
shekel,4,1.3259427260190084,1.388596370813834
shubert,2,-114.8929797246802,-114.97103144368513
sphere,5,-0.15956983351053367,-0.16306455459036426
sphere,10,-0.3873438656187883,-0.5797898736785718
styblinski_tang,5,-61.960839984832816,-61.63657072705122
styblinski_tang,10,-172.16162066038993,-186.26971985447656
sum_squares,5,-0.8431225706024726,-0.7909865879608639
sum_squares,10,-22.609349595587865,-35.937968264877
zakharov,5,-68.83745122248767,-63.7657752170914
zakharov,10,-227.71427866947027,-250.5554578276861
