function,dimension,1,hw
ackley,5,-1.7370161324202322,-1.884033988903942
ackley,10,-2.8200176991362893,-3.0768429074004477
alpine1,5,-1.0988058679080357,0.0019601187244227243
alpine1,10,-0.041313529652081724,-0.1377155486479518
beale,2,-1.153867255107452,-0.7699647591302299
bohachevsky1,2,-14.524393647072467,-0.7803967314860275
booth,2,-0.04549403178114703,-0.013182105184460238
branin,2,-0.018070877177063592,-0.017114673505787506
bukin6,2,-10.427397705803665,-10.877509704512473
camel3,2,-0.03245559944013998,-0.03603469014175125
camel6,2,-0.015491658619300158,-0.017932856983065765
colville,4,-1328.9009086046071,-1135.1617438530393
cross_in_tray,2,-0.023728106384717985,-0.0021378436478257674
dejong5,2,-67.6463165436101,-12.91079702261383
dixon_price,5,-138.06118842637824,-144.60070798544328
dixon_price,10,-517.4346952929271,-751.2849081460372
drop_wave,5,-0.7264383449207418,-0.7552950594488175
drop_wave,10,-0.8784656767407059,-0.869470514295096
easom,2,-0.9792737795144651,-0.9792737795144651
eggholder,2,-182.68365872055182,-133.08665743095384
expanded_scaffer_f6,5,-1.7401486478729633,-1.907269992777206
expanded_scaffer_f6,10,-4.176728627492622,-4.045667780075264
forrester08,1,0.003830024227068432,0.0038319361531081427
goldstein_price,2,-21.05224010309221,-23.199245385219783
griewank,5,-1.1777172902636348,-1.426627118728541
griewank,10,-1.4851698151456798,-2.03578951464935
grlee12,5,-3.1146722360471877,-3.2783485657879368
grlee12,10,-6.65423217320411,-6.4289146831174175
hartmann3,3,3.865769816948073,3.8604123713935423
hartmann4,4,3.0781026975020795,3.045791330758873
hartmann6,6,2.969400432210551,3.026271264605237
holder_table,2,-2.4215225741361985,-1.9342693217341758
levy,5,-2.4427768602078266,-1.550578668808222
levy,10,-3.253694997764486,-3.9205449218709645
levy13,2,-0.6327203595746279,-0.6102089024711117
matyas,2,-0.018704120744443203,-0.018868539529543468
mccormick,2,-0.0047473679792062965,-0.014479069213708302
michalewicz,5,2.7048831875799157,2.729555699113979
michalewicz,10,4.099025646355169,4.174733547351424
powell,4,-66.22059919204807,-51.68054916477231
power_sum,4,-64.55821593124305,-40.59735284569635
rastrigin,5,-40.64426811993189,-32.7648144782422
rastrigin,10,-80.75685194239205,-74.7120930835353
rosenbrock,5,-12.888974763236035,-10.042940984894702
rosenbrock,10,-55.40278671792987,-52.52754187197227
rotated_hyper_ellipsoid,5,-16.030099734980887,-60.1496244345233
rotated_hyper_ellipsoid,10,-1144.918047371164,-86.92010817964614
schaffer2,2,-0.3523040449465877,-0.3587050553462228
schaffer4,2,-0.13875195530634382,-0.150284939677853
schwefel,5,-855.9685002586414,-834.0968686651613
schwefel,10,-2012.7620929276127,-2362.3579250995635
shekel,4,1.9217209650419467,2.305852590856956
shubert,2,-126.80237133270285,-142.24120451704735
sphere,5,-0.12426216783680019,-0.16184878448057594
sphere,10,-0.2712943282740779,-0.22242122433472425
styblinski_tang,5,-54.98390860510492,-50.816804589535764
styblinski_tang,10,-150.4825665522124,-158.89668309748987
sum_squares,5,-1.1706659340852237,-0.942422590414898
sum_squares,10,-4.402911448338793,-23.505209673316607
zakharov,5,-77.65602537142357,-61.31526358821782
zakharov,10,-250.7122913222489,-246.22236585382126
